,KHM,MID,NEO,VOW,WAR,XLN,Common,Rare,Uncommon,Mythical,Angle,Other,Human,Zombies,week_num,Price Prediction
0,0,0,0,1,0,0,142,168,137,58,1,389,84,31,1,316
1,0,0,0,1,0,0,142,168,137,58,1,389,84,31,2,316
2,0,0,0,1,0,0,142,168,137,58,1,389,84,31,3,316
3,0,0,0,1,0,0,142,168,137,58,1,389,84,31,4,316
4,0,0,0,1,0,0,142,168,137,58,1,389,84,31,5,316
5,0,0,0,1,0,0,142,168,137,58,1,389,84,31,6,316
6,0,0,0,1,0,0,142,168,137,58,1,389,84,31,7,316
7,0,0,0,1,0,0,142,168,137,58,1,389,84,31,8,316
8,0,0,0,1,0,0,142,168,137,58,1,389,84,31,9,316
9,0,0,0,1,0,0,142,168,137,58,1,389,84,31,10,316
10,0,0,0,1,0,0,142,168,137,58,1,389,84,31,11,316
11,0,0,0,1,0,0,142,168,137,58,1,389,84,31,12,316
12,0,0,0,1,0,0,142,168,137,58,1,389,84,31,13,316
13,0,0,0,1,0,0,142,168,137,58,1,389,84,31,14,316
14,0,0,0,1,0,0,142,168,137,58,1,389,84,31,15,316
15,0,0,0,1,0,0,142,168,137,58,1,389,84,31,16,316
16,0,0,0,1,0,0,142,168,137,58,1,389,84,31,17,316
17,0,0,0,1,0,0,142,168,137,58,1,389,84,31,18,316
18,0,0,0,1,0,0,142,168,137,58,1,389,84,31,19,316
19,0,0,0,1,0,0,142,168,137,58,1,389,84,31,20,316
20,0,0,0,1,0,0,142,168,137,58,1,389,84,31,21,316
21,0,0,0,1,0,0,142,168,137,58,1,389,84,31,22,308
22,0,0,0,1,0,0,142,168,137,58,1,389,84,31,23,307
23,0,0,0,1,0,0,142,168,137,58,1,389,84,31,24,307
24,0,0,0,1,0,0,142,168,137,58,1,389,84,31,25,307
