setCode,rarity,manaCost,colorIdentity,types,subtypes,power,toughness
CSP,rare,{4}{W}{W},W,Creature,Angel,4,5
CSP,common,{3}{W}{W},W,Creature,Griffin,3,2
CSP,rare,{2}{W},W,Enchantment,0,0,0
CSP,rare,{4}{W}{W},W,Creature,"Human, Soldier",3,3
CSP,rare,{1}{W}{W},W,Creature,"Human, Soldier",2,2
CSP,common,{W},W,Enchantment,Aura,0,0
CSP,uncommon,{2}{W}{W},W,Enchantment,Aura,0,0
CSP,uncommon,{1}{W},W,Creature,"Giant, Soldier",4,4
CSP,uncommon,{2}{W},"U, W",Creature,Giant,3,3
CSP,uncommon,{5}{W},W,Creature,Gargoyle,3,3
CSP,common,{W},W,Creature,"Human, Soldier",1,2
CSP,common,{1}{W},W,Creature,"Human, Soldier",2,2
CSP,common,{1}{W},W,Instant,0,0,0
CSP,uncommon,{W},W,Instant,0,0,0
CSP,common,{W},W,Creature,"Human, Cleric",1,1
CSP,common,{1}{W},W,Creature,Unicorn,2,2
CSP,common,{1}{W},W,Creature,Elemental,1,1
CSP,common,{1}{W},W,Instant,0,0,0
CSP,rare,{5}{W}{W},W,Sorcery,0,0,0
CSP,common,{2}{W},W,Creature,"Human, Soldier",2,1
CSP,common,{1}{W},W,Instant,0,0,0
CSP,uncommon,{4}{W},W,Creature,"Spirit, Bear",3,3
CSP,uncommon,{1}{W},W,Creature,Wall,1,8
CSP,uncommon,{W}{W},W,Creature,"Human, Knight",2,1
CSP,rare,{2}{W}{W},W,Creature,"Boar, Beast",7,7
CSP,uncommon,{4}{U},U,Creature,Illusion,3,3
CSP,rare,{3}{U},U,Creature,"Human, Artificer",2,2
CSP,uncommon,{2}{U},U,Creature,"Human, Wizard",1,1
CSP,rare,{5}{U}{U},U,Instant,0,0,0
CSP,uncommon,{2}{U}{U},U,Instant,0,0,0
CSP,uncommon,{U}{U},U,Enchantment,0,0,0
CSP,common,{4}{U},U,Creature,"Yeti, Mutant",3,3
CSP,uncommon,{1}{U},U,Instant,0,0,0
CSP,common,{2}{U},U,Creature,Bird,2,2
CSP,common,{1}{U}{U},U,Enchantment,Aura,0,0
CSP,rare,{4}{U},U,Creature,"Human, Wizard",3,3
CSP,rare,{4}{U}{U}{U},U,Creature,Leviathan,12,12
CSP,common,{1}{U},U,Creature,Illusion,*,*
CSP,uncommon,{3}{U},"B, U",Enchantment,Aura,0,0
CSP,common,{U},U,Creature,"Human, Wizard",1,1
CSP,uncommon,{1}{U},U,Instant,0,0,0
CSP,rare,{5}{U}{U},U,Creature,Bird,*,*
CSP,uncommon,{3}{U},U,Creature,"Human, Wizard",2,3
CSP,common,{1}{U},U,Creature,"Human, Wizard",1,2
CSP,common,{5}{U},U,Creature,Serpent,5,6
CSP,common,{1}{U},U,Instant,0,0,0
CSP,common,{3}{U},U,Instant,0,0,0
CSP,common,{2}{U},U,Creature,"Human, Wizard",2,1
CSP,common,{U},U,Instant,0,0,0
CSP,rare,{1}{U}{U},U,Creature,Sphinx,4,4
CSP,uncommon,{3}{B},"B, R",Creature,Zombie,3,5
CSP,common,{3}{B},B,Instant,0,0,0
CSP,common,{2}{B},B,Creature,Shade,1,1
CSP,uncommon,{B},B,Sorcery,0,0,0
CSP,common,{2}{B}{B},B,Creature,"Human, Cleric",3,1
CSP,common,{B},B,Sorcery,0,0,0
CSP,rare,{B}{B}{B},B,Creature,"Human, Assassin",2,2
CSP,common,{1}{B},B,Instant,0,0,0
CSP,uncommon,{4}{B},B,Creature,Zombie,3,3
CSP,common,{2}{B},B,Creature,Zombie,2,2
CSP,rare,{1}{B}{B},B,Creature,"Zombie, Knight",3,3
