setCode,rarity,manaCost,colorIdentity,types,subtypes,power,toughness
MID,rare,{1}{W}{W},W,Creature,"Human, Knight",*,4
MID,uncommon,{1}{W},W,Creature,"Human, Peasant",1,1
MID,uncommon,0,W,Creature,"Human, Knight",3,3
MID,uncommon,{1}{W},W,Creature,"Human, Peasant",0,4
MID,uncommon,0,W,Creature,Spirit,4,4
MID,uncommon,{2}{W},W,Creature,"Human, Peasant",2,1
MID,uncommon,0,W,Creature,"Human, Soldier",3,2
MID,common,{W},W,Instant,0,0,0
MID,uncommon,{2}{W},W,Enchantment,0,0,0
MID,rare,{2}{W},"R, W",Creature,"Human, Soldier, Werewolf",2,2
MID,rare,0,"R, W",Creature,Werewolf,3,3
MID,common,{1}{W},W,Creature,"Human, Warlock",2,2
MID,common,{W},W,Enchantment,Aura,0,0
MID,common,{1}{W},W,Creature,"Human, Soldier",3,1
MID,uncommon,{2}{W},W,Enchantment,Aura,0,0
MID,common,{2}{W},W,Creature,"Human, Cleric",3,2
MID,uncommon,{W},W,Creature,"Human, Cleric",1,1
MID,uncommon,0,W,Creature,"Spirit, Cleric",2,1
MID,common,{3}{W},W,Creature,"Human, Knight",3,3
MID,rare,{W},W,Enchantment,"Aura, Curse",0,0
MID,uncommon,{3}{W},W,Creature,"Human, Soldier",3,3
MID,mythic,{2}{W}{W}{W},W,Creature,Angel,3,3
MID,mythic,0,W,Creature,Angel,*,*
MID,rare,{1}{W},W,Instant,0,0,0
MID,common,{1}{W},W,Instant,0,0,0
MID,uncommon,{1}{W}{W},W,Creature,"Human, Soldier",3,3
MID,common,{3}{W},W,Creature,"Human, Soldier",2,3
MID,common,{W},W,Creature,"Human, Soldier",0,2
MID,common,{W},W,Artifact,Equipment,0,0
MID,common,{W},W,Sorcery,0,0,0
MID,mythic,{1}{W},W,Creature,"Human, Scout",3,1
MID,uncommon,{2}{W},W,Creature,Hippogriff,2,2
MID,common,{W},W,Creature,"Human, Cleric",1,1
MID,common,0,W,Creature,"Spirit, Cleric",1,1
MID,common,{2}{W},W,Creature,"Human, Soldier",2,3
MID,common,0,W,Creature,"Spirit, Soldier",2,1
MID,uncommon,{3}{W},W,Creature,"Human, Knight",2,4
MID,common,{2}{W},W,Creature,"Human, Soldier",3,2
MID,uncommon,{1}{W},W,Instant,0,0,0
MID,common,{3}{W},W,Creature,"Human, Soldier",2,2
MID,rare,{2}{W}{W},W,Enchantment,0,0,0
MID,mythic,{3}{W}{W},W,Creature,Angel,3,3
MID,common,{4}{W},W,Creature,"Hippogriff, Spirit",3,4
MID,common,{2}{W},W,Instant,0,0,0
MID,rare,{1}{W},W,Creature,"Human, Soldier",3,2
MID,uncommon,{1}{W},W,Sorcery,0,0,0
MID,common,{1}{W},W,Instant,0,0,0
MID,common,{1}{W},W,Creature,Human,1,1
MID,rare,{6}{W}{W},W,Sorcery,0,0,0
MID,common,{1}{U},U,Creature,"Human, Peasant",2,1
MID,common,0,U,Creature,Spirit,1,2
MID,common,{2}{U},U,Creature,Homunculus,1,4
MID,common,{U},U,Instant,0,0,0
MID,uncommon,{1}{U},U,Creature,Human,1,3
MID,uncommon,0,U,Creature,Spirit,3,4
MID,rare,{4}{U},U,Enchantment,"Aura, Curse",0,0
MID,uncommon,{U},U,Creature,"Human, Wizard",1,1
MID,uncommon,0,U,Creature,"Human, Insect",3,2
