setCode,rarity,manaCost,colorIdentity,types,subtypes,power,toughness
RTR,mythic,{4}{W}{W}{W},W,Creature,Angel,5,6
RTR,common,{3}{W},W,Creature,"Giant, Soldier",2,5
RTR,uncommon,{2}{W},W,Enchantment,Aura,0,0
RTR,common,{2}{W},W,Instant,0,0,0
RTR,common,{1}{W},W,Creature,"Human, Soldier",2,1
RTR,uncommon,{2}{W}{W},W,Creature,"Human, Wizard",2,2
RTR,uncommon,{4}{W},W,Creature,Beast,2,5
RTR,common,{1}{W},W,Creature,Pegasus,1,3
RTR,common,{W},W,Enchantment,Aura,0,0
RTR,common,{3}{W},W,Instant,0,0,0
RTR,uncommon,{1}{W},W,Creature,"Human, Soldier",1,1
RTR,common,{1}{W},W,Creature,Spirit,2,2
RTR,common,{4}{W},W,Enchantment,Aura,0,0
RTR,rare,{2}{W}{W},W,Enchantment,0,0,0
RTR,rare,{4}{W}{W},W,Creature,"Giant, Soldier",2,7
RTR,uncommon,{3}{W},W,Creature,"Spirit, Soldier",2,3
RTR,rare,{W}{W},W,Creature,"Human, Soldier",2,2
RTR,rare,{1}{W},W,Enchantment,0,0,0
RTR,common,{2}{W},W,Instant,0,0,0
RTR,uncommon,{2}{W},W,Enchantment,Aura,0,0
RTR,common,{2}{W},"G, W",Creature,"Elephant, Soldier",3,2
RTR,common,{2}{W},W,Creature,Human,1,2
RTR,uncommon,{1}{W},W,Enchantment,Aura,0,0
RTR,uncommon,{4}{W},W,Enchantment,0,0,0
RTR,common,{1}{W}{W},W,Creature,Griffin,2,3
RTR,common,{W},W,Instant,0,0,0
RTR,common,{W},W,Creature,Cat,1,1
RTR,common,{5}{W},W,Instant,0,0,0
RTR,uncommon,{3}{U},U,Creature,Beast,1,3
RTR,uncommon,{U},U,Instant,0,0,0
RTR,common,{1}{U}{U},U,Instant,0,0,0
RTR,common,{1}{U},U,Enchantment,Aura,0,0
RTR,rare,{5}{U},U,Enchantment,0,0,0
RTR,common,{1}{U},U,Creature,Vedalken,2,1
RTR,rare,{1}{U},U,Instant,0,0,0
RTR,common,{U},U,Instant,0,0,0
RTR,common,{1}{U},U,Creature,Homunculus,0,4
RTR,common,{U},U,Instant,0,0,0
RTR,uncommon,{U},U,Creature,"Faerie, Rogue",2,1
RTR,uncommon,{2}{U},U,Creature,"Illusion, Wall",0,6
RTR,common,{1}{U},U,Sorcery,0,0,0
RTR,common,{3}{U},U,Instant,0,0,0
RTR,common,{5}{U},U,Creature,"Vedalken, Knight",3,3
RTR,mythic,{2}{U}{U},U,Planeswalker,Jace,0,0
RTR,common,{U},U,Instant,0,0,0
RTR,common,{2}{U},U,Enchantment,Aura,0,0
RTR,uncommon,{4}{U},U,Instant,0,0,0
RTR,common,{3}{U},U,Creature,Bird,2,2
RTR,rare,{4}{U},U,Enchantment,0,0,0
RTR,uncommon,{4}{U}{U},U,Creature,Drake,3,4
RTR,uncommon,{3}{U},U,Creature,Spirit,2,1
RTR,rare,{4}{U}{U},U,Creature,Sphinx,5,6
RTR,common,{2}{U},U,Creature,"Human, Rogue",2,2
RTR,uncommon,{X}{U},U,Instant,0,0,0
RTR,common,{2}{U},"U, W",Creature,Drake,2,1
RTR,common,{4}{U},U,Creature,"Human, Wizard",1,4
RTR,uncommon,{4}{B}{B},B,Sorcery,0,0,0
RTR,common,{4}{B},B,Creature,Slug,2,6
RTR,common,{B},B,Instant,0,0,0
RTR,common,{1}{B},B,Creature,Imp,1,1
RTR,uncommon,{3}{B},B,Creature,Spirit,2,2
RTR,common,{2}{B},B,Creature,Zombie,2,3
RTR,rare,{2}{B}{B},B,Creature,Demon,6,6
RTR,common,{4}{B},B,Sorcery,0,0,0
RTR,common,{B},"B, R",Enchantment,Aura,0,0
RTR,common,{B},B,Creature,Rat,1,1
RTR,rare,{5}{B}{B},B,Enchantment,0,0,0
RTR,common,{1}{B},B,Creature,"Skeleton, Warrior",1,1
RTR,common,{3}{B},B,Instant,0,0,0
RTR,common,{2}{B},B,Sorcery,0,0,0
RTR,mythic,{3}{B}{B}{B},B,Creature,Vampire,6,5
RTR,common,{3}{B},B,Creature,"Ogre, Rogue",4,4
RTR,rare,{1}{B},B,Creature,Rat,*,*
RTR,common,{2}{B}{B},B,Creature,"Insect, Shade",0,4
RTR,common,{2}{B},B,Creature,Zombie,2,1
RTR,uncommon,{B},B,Enchantment,0,0,0
RTR,uncommon,{3}{B},B,Creature,Horror,4,2
RTR,common,{2}{B},B,Enchantment,Aura,0,0
RTR,uncommon,{1}{B},B,Creature,"Human, Rogue",2,2
RTR,common,{6}{B},B,Creature,"Zombie, Wurm",5,5
RTR,uncommon,{1}{B},B,Creature,"Human, Assassin",1,2
RTR,uncommon,{1}{B},B,Instant,0,0,0
RTR,rare,{1}{B}{B},B,Enchantment,Aura,0,0
RTR,uncommon,{5}{B},B,Creature,Insect,3,3
RTR,common,{1}{R}{R},R,Instant,0,0,0
RTR,rare,{R}{R},R,Creature,"Human, Warrior",2,2
RTR,common,{4}{R},R,Creature,Beast,4,3
RTR,common,{R},R,Creature,Lizard,1,1
RTR,uncommon,{2}{R}{R},R,Creature,Giant,4,3
RTR,rare,{4}{R}{R},R,Creature,Imp,6,5
RTR,common,{3}{R},R,Creature,Elemental,5,2
RTR,common,{R},R,Instant,0,0,0
RTR,common,{R},R,Instant,0,0,0
RTR,common,{5}{R},R,Instant,0,0,0
RTR,uncommon,{3}{R}{R},R,Sorcery,0,0,0
RTR,common,{1}{R},R,Creature,"Human, Warrior",2,1
RTR,rare,{5}{R},R,Enchantment,0,0,0
RTR,uncommon,{2}{R},R,Creature,"Goblin, Shaman",2,2
RTR,common,{2}{R},R,Creature,"Goblin, Warrior",0,4
RTR,uncommon,{6}{R},R,Creature,"Minotaur, Berserker",6,2
RTR,rare,{1}{R},R,Sorcery,0,0,0
RTR,common,{1}{R},"R, U",Enchantment,Aura,0,0
RTR,uncommon,{4}{R},R,Enchantment,0,0,0
RTR,uncommon,{R},R,Enchantment,Aura,0,0
RTR,common,{2}{R},R,Creature,"Human, Warrior",2,2
RTR,uncommon,{X}{R},R,Instant,0,0,0
RTR,common,{4}{R},R,Sorcery,0,0,0
RTR,common,{5}{R},R,Creature,Beast,5,4
RTR,common,{3}{R},R,Sorcery,0,0,0
RTR,mythic,{6}{R}{R},R,Creature,Dragon,6,6
RTR,uncommon,{R},R,Sorcery,0,0,0
RTR,common,{2}{R},R,Creature,"Viashino, Rogue",2,1
RTR,common,{2}{G},G,Instant,0,0,0
RTR,uncommon,{5}{G}{G},G,Creature,Spider,5,5
RTR,common,{2}{G},G,Creature,"Human, Druid",0,3
RTR,common,{6}{G},G,Creature,Elk,6,7
RTR,uncommon,{1}{G},G,Creature,Beast,3,1
RTR,common,{G},G,Creature,"Elf, Scout",0,1
RTR,common,{3}{G},G,Instant,0,0,0
RTR,rare,{2}{G}{G},G,Creature,Insect,5,5
RTR,rare,{5}{G},G,Enchantment,0,0,0
RTR,common,{1}{G},G,Creature,Insect,2,2
RTR,common,{1}{G},G,Instant,0,0,0
RTR,common,{1}{G},G,Creature,Plant,0,2
RTR,common,{G},G,Instant,0,0,0
RTR,uncommon,{4}{G},G,Creature,Ooze,3,3
