setCode,rarity,manaCost,colorIdentity,types,subtypes,power,toughness
SNC,uncommon,{5}{W},W,Creature,"Angel, Advisor",3,3
SNC,common,{1}{W},W,Creature,"Human, Citizen",1,1
SNC,uncommon,{3}{W}{W},W,Creature,"Human, Warrior",3,5
SNC,common,{W},W,Instant,0,0,0
SNC,common,{W},"G, U, W",Creature,"Cat, Citizen",0,4
SNC,common,{4}{W},W,Sorcery,0,0,0
SNC,common,{4}{W},W,Instant,0,0,0
SNC,common,{3}{W},W,Creature,"Elf, Druid",3,2
SNC,common,{3}{W},W,Creature,"Elf, Druid",3,3
SNC,uncommon,{1}{W},W,Artifact,Equipment,0,0
SNC,common,{3}{W},W,Creature,"Human, Soldier",2,2
SNC,rare,{2}{W}{W},W,Sorcery,0,0,0
SNC,mythic,{3}{W}{W},W,Planeswalker,Elspeth,0,0
SNC,rare,{2}{W},W,Creature,"Human, Rogue",3,2
SNC,common,{2}{W},W,Creature,"Human, Citizen",3,1
SNC,rare,{1}{W},W,Creature,Angel,2,2
SNC,mythic,{2}{W},W,Artifact,0,0,0
SNC,common,{1}{W},W,Enchantment,Aura,0,0
SNC,uncommon,{1}{W},W,Creature,"Human, Rogue",1,1
SNC,common,{2}{W},W,Creature,"Angel, Cleric",2,1
SNC,common,{2}{W},W,Instant,0,0,0
SNC,uncommon,{2}{W},W,Instant,0,0,0
SNC,uncommon,{2}{W},W,Instant,0,0,0
SNC,uncommon,{2}{W},W,Creature,"Cat, Rogue",3,2
SNC,rare,{3}{W}{W},W,Artifact,Vehicle,4,4
SNC,uncommon,{2}{W},W,Sorcery,0,0,0
SNC,rare,{4}{W},W,Enchantment,0,0,0
SNC,common,{W},W,Enchantment,Aura,0,0
SNC,common,{1}{W},W,Creature,"Human, Wizard",2,1
SNC,uncommon,{1}{W},W,Instant,0,0,0
SNC,common,{1}{W},W,Instant,0,0,0
SNC,uncommon,{1}{W}{W},W,Creature,"Elf, Wizard",2,1
SNC,mythic,{4}{W}{W},W,Creature,"Angel, Soldier",5,5
SNC,common,{1}{W},W,Creature,"Bird, Citizen",1,1
SNC,common,{4}{W},W,Creature,"Bird, Citizen",3,3
SNC,common,{4}{W},W,Creature,"Bird, Citizen",3,3
SNC,uncommon,{3}{W},W,Creature,"Bird, Citizen",2,1
SNC,mythic,{4}{U}{U},U,Creature,Avatar,5,4
SNC,common,{1}{U},U,Creature,"Cephalid, Rogue",3,3
SNC,common,{1}{U},U,Creature,"Human, Soldier",2,1
SNC,common,{3}{U},U,Instant,0,0,0
SNC,common,{4}{U},U,Sorcery,0,0,0
SNC,rare,{4}{U}{U},U,Sorcery,0,0,0
SNC,common,{1}{U},U,Instant,0,0,0
SNC,common,{3}{U},U,Creature,"Bird, Rogue",2,3
SNC,rare,{U},U,Creature,"Human, Rogue",0,3
SNC,mythic,{X}{U}{U}{U},U,Instant,0,0,0
SNC,common,{U},U,Creature,"Human, Citizen",1,1
SNC,uncommon,{1}{U},U,Creature,"Faerie, Rogue",1,2
SNC,uncommon,{U},U,Creature,"Human, Rogue",1,2
SNC,rare,{1}{U},U,Creature,"Bird, Advisor",1,3
SNC,uncommon,{1}{U},U,Instant,0,0,0
SNC,common,{2}{U},U,Instant,0,0,0
SNC,common,{1}{U},U,Instant,0,0,0
SNC,common,{2}{U},"B, U, W",Creature,"Bird, Citizen",2,2
SNC,uncommon,{U},U,Instant,0,0,0
SNC,uncommon,{3}{U},U,Instant,0,0,0
SNC,common,{2}{U},U,Creature,"Human, Rogue",0,3
SNC,common,{2}{U},U,Creature,"Human, Rogue",0,4
SNC,uncommon,{4}{U},U,Creature,"Cephalid, Rogue",3,2
SNC,uncommon,{2}{U},U,Enchantment,Aura,0,0
SNC,uncommon,{2}{U},U,Enchantment,Aura,0,0
SNC,rare,{2}{U}{U},U,Creature,Kraken,6,6
SNC,common,{2}{U},U,Sorcery,0,0,0
SNC,common,{3}{U},U,Instant,0,0,0
SNC,common,{1}{U},U,Enchantment,Aura,0,0
SNC,common,{5}{U},U,Creature,Crocodile,4,6
SNC,common,{5}{U},U,Creature,Crocodile,4,7
SNC,uncommon,{2}{U}{U},U,Enchantment,Aura,0,0
SNC,uncommon,{U},U,Instant,0,0,0
SNC,rare,{2}{U}{U},U,Creature,"Shapeshifter, Rogue",0,0
SNC,uncommon,{2}{U},U,Creature,"Human, Soldier",2,3
SNC,rare,{4}{U},U,Enchantment,0,0,0
SNC,common,{U},U,Enchantment,Aura,0,0
SNC,mythic,{3}{B}{B},B,Creature,"Nightmare, Angel",5,3
SNC,mythic,{2}{B}{B},B,Creature,"Ogre, Rogue",3,3
SNC,rare,{2}{B},B,Enchantment,0,0,0
SNC,common,{1}{B},B,Creature,"Human, Advisor",1,1
