setCode,rarity,manaCost,colorIdentity,types,subtypes,power,toughness
SOI,rare,{1}{W}{W},W,Enchantment,0,0,0
SOI,rare,{6}{W}{W},W,Creature,Angel,6,6
SOI,common,{2}{W},W,Sorcery,0,0,0
SOI,common,{3}{W},W,Creature,Spirit,2,3
SOI,mythic,{3}{W}{W},"R, W",Creature,Angel,4,4
SOI,mythic,0,"R, W",Creature,Angel,6,5
SOI,uncommon,{3}{W},W,Creature,"Human, Cleric",3,3
SOI,uncommon,0,W,Creature,"Human, Cleric",4,4
SOI,uncommon,{2}{W},W,Enchantment,Aura,0,0
SOI,rare,{2}{W},W,Creature,"Spirit, Cleric",2,3
SOI,common,{2}{W},W,Creature,Dog,3,1
SOI,common,{W},W,Sorcery,0,0,0
SOI,common,{2}{W},W,Creature,"Human, Soldier",3,2
SOI,rare,{1}{W},W,Sorcery,0,0,0
SOI,mythic,{4}{W}{W},W,Sorcery,0,0,0
SOI,common,{1}{W},W,Creature,Fox,3,1
SOI,rare,{5}{W}{W},W,Creature,"Spirit, Knight",4,4
SOI,rare,{2}{W},W,Instant,0,0,0
SOI,common,{4}{W},W,Creature,Spirit,2,4
SOI,common,{2}{W},W,Sorcery,0,0,0
SOI,common,{1}{W},W,Instant,0,0,0
SOI,uncommon,{W},W,Enchantment,Aura,0,0
SOI,rare,{1}{W},W,Creature,"Human, Soldier",2,2
SOI,rare,0,W,Creature,"Human, Cleric",*,*
SOI,uncommon,{2}{W},W,Enchantment,Aura,0,0
SOI,uncommon,{4}{W},W,Instant,0,0,0
SOI,common,{3}{W},W,Creature,Ox,2,5
SOI,common,{3}{W},W,Creature,"Human, Knight",3,3
SOI,common,{2}{W},W,Creature,"Human, Cleric",2,3
SOI,common,{1}{W},W,Creature,Spirit,2,2
SOI,uncommon,{1}{W},"R, W",Enchantment,0,0,0
SOI,uncommon,{3}{W},W,Creature,"Human, Cleric",3,1
SOI,uncommon,{1}{W},W,Sorcery,0,0,0
SOI,rare,{3}{W},W,Creature,"Human, Soldier",3,3
SOI,uncommon,{1}{W},W,Sorcery,0,0,0
SOI,uncommon,{2}{W},W,Creature,"Human, Soldier",3,2
SOI,uncommon,{2}{W},"B, W",Creature,"Human, Cleric",2,2
SOI,uncommon,0,"B, W",Creature,"Human, Cleric",2,4
SOI,common,{1}{W},W,Instant,0,0,0
SOI,uncommon,{3}{W}{W},W,Creature,Angel,3,3
SOI,uncommon,{3}{W},W,Instant,0,0,0
SOI,uncommon,{2}{W},"U, W",Creature,Spirit,2,2
SOI,common,{W},W,Creature,"Human, Soldier",1,1
SOI,common,{W},W,Instant,0,0,0
SOI,common,{2}{W},W,Instant,0,0,0
SOI,uncommon,{3}{W},W,Instant,0,0,0
SOI,rare,{1}{W},W,Creature,"Human, Soldier",1,1
SOI,common,{W},W,Creature,"Human, Soldier",1,2
SOI,uncommon,{W},W,Creature,Spirit,1,1
SOI,uncommon,{W},"R, W",Creature,Human,1,1
SOI,uncommon,0,"R, W",Creature,Human,2,3
SOI,common,{1}{W},W,Creature,Human,1,1
SOI,common,{1}{W},W,Enchantment,0,0,0
SOI,uncommon,{3}{U},U,Creature,"Human, Insect",3,2
SOI,uncommon,0,U,Creature,"Insect, Horror",5,4
SOI,uncommon,{1}{U}{U},U,Instant,0,0,0
SOI,common,{2}{U},U,Instant,0,0,0
SOI,uncommon,{1}{U},U,Instant,0,0,0
SOI,rare,{3}{U}{U},U,Instant,0,0,0
SOI,uncommon,{1}{U},U,Creature,"Human, Rogue",2,1
SOI,uncommon,0,U,Creature,"Human, Wizard",3,2
SOI,common,{2}{U},U,Instant,0,0,0
SOI,common,{3}{U},U,Creature,"Human, Wizard",2,4
SOI,uncommon,{3}{U},"B, U",Creature,Zombie,1,1
SOI,rare,{3}{U},U,Instant,0,0,0
SOI,rare,{X}{U},U,Instant,0,0,0
SOI,uncommon,{1}{U},U,Creature,Spirit,1,3
SOI,uncommon,{U},U,Instant,0,0,0
SOI,uncommon,{2}{U},U,Enchantment,0,0,0
SOI,rare,{3}{U},U,Creature,"Zombie, Horror",3,3
SOI,common,{1}{U},U,Creature,Homunculus,2,1
SOI,mythic,{3}{U}{U},U,Creature,"Zombie, Horror",7,7
SOI,common,{1}{U},U,Enchantment,Aura,0,0
SOI,common,{4}{U},U,Sorcery,0,0,0
SOI,uncommon,{U},U,Instant,0,0,0
SOI,mythic,{3}{U}{U},U,Planeswalker,Jace,0,0
SOI,common,{1}{U},U,Instant,0,0,0
SOI,common,{1}{U},U,Instant,0,0,0
SOI,common,{4}{U},U,Creature,"Zombie, Horror",3,5
SOI,uncommon,{1}{U},U,Creature,"Human, Wizard",0,3
SOI,common,{1}{U},U,Sorcery,0,0,0
SOI,rare,{5}{U}{U},U,Creature,Drake,5,5
SOI,common,{2}{U},U,Creature,Spirit,2,1
SOI,uncommon,{1}{U},"G, U",Enchantment,0,0,0
SOI,common,{2}{U},U,Sorcery,0,0,0
SOI,uncommon,{3}{U}{U},U,Sorcery,0,0,0
SOI,common,{1}{U},U,Sorcery,0,0,0
SOI,rare,{1}{U},U,Creature,Spirit,2,1
SOI,uncommon,{2}{U},U,Creature,"Human, Wizard",2,1
SOI,uncommon,{5}{U},U,Sorcery,0,0,0
SOI,common,{1}{U},U,Creature,Zombie,1,3
SOI,common,{5}{U},U,Creature,Turtle,6,6
SOI,common,{3}{U},U,Creature,Spirit,1,5
SOI,common,{3}{U},U,Enchantment,Aura,0,0
SOI,mythic,{2}{U}{U},U,Sorcery,0,0,0
SOI,mythic,0,U,Creature,Nightmare,1,1
SOI,common,{2}{U},U,Creature,"Zombie, Horror",2,3
SOI,uncommon,{3}{U},U,Creature,"Zombie, Horror",3,1
SOI,common,{4}{U},U,Creature,Spirit,3,3
SOI,rare,{1}{U},U,Creature,Horror,0,4
SOI,rare,0,U,Creature,"Kraken, Horror",7,8
SOI,uncommon,{2}{U},U,Enchantment,0,0,0
SOI,uncommon,{2}{U},U,Creature,Spirit,2,2
SOI,uncommon,0,U,Creature,Spirit,3,3
SOI,common,{1}{U},U,Enchantment,0,0,0
SOI,rare,{2}{U}{U},U,Sorcery,0,0,0
SOI,uncommon,{3}{B},B,Creature,"Human, Shaman",4,2
SOI,uncommon,0,B,Enchantment,"Aura, Curse",0,0
SOI,common,{2}{B},B,Sorcery,0,0,0
SOI,rare,{1}{B},B,Creature,"Vampire, Wizard",3,1
SOI,uncommon,{2}{B},"B, W",Enchantment,0,0,0
SOI,mythic,{5}{B}{B},B,Sorcery,0,0,0
SOI,uncommon,{2}{B}{B},B,Sorcery,0,0,0
SOI,uncommon,{1}{B},B,Enchantment,0,0,0
SOI,uncommon,{3}{B},B,Enchantment,0,0,0
SOI,common,{2}{B},B,Creature,"Zombie, Bird",2,1
SOI,common,{B},B,Enchantment,Aura,0,0
SOI,rare,{2}{B},B,Creature,"Zombie, Giant",2,2
SOI,rare,{2}{B}{B},"B, U",Creature,"Vampire, Wizard",4,4
SOI,rare,0,"B, U",Creature,Elemental,0,1
SOI,rare,{4}{B}{B},B,Sorcery,0,0,0
SOI,common,{2}{B},B,Creature,Spirit,1,3
SOI,rare,{3}{B}{B},B,Sorcery,0,0,0
SOI,common,{1}{B},B,Creature,"Human, Rogue",2,2
SOI,uncommon,{4}{B},B,Creature,"Zombie, Horse",4,4
SOI,uncommon,{2}{B}{B},B,Sorcery,0,0,0
SOI,common,{1}{B},B,Instant,0,0,0
SOI,uncommon,{1}{B},B,Creature,Vampire,2,1
SOI,uncommon,0,B,Creature,"Vampire, Berserker",3,2
SOI,common,{4}{B},B,Creature,"Zombie, Dog",5,3
SOI,uncommon,{B},B,Creature,"Vampire, Noble",1,1
SOI,uncommon,{2}{B},B,Creature,Human,2,3
SOI,uncommon,0,B,Creature,"Human, Shaman",4,3
SOI,uncommon,{X}{B},B,Sorcery,0,0,0
SOI,common,{1}{B},B,Sorcery,0,0,0
SOI,rare,{3}{B}{B},B,Creature,"Vampire, Knight",3,3
SOI,common,{2}{B},B,Instant,0,0,0
SOI,mythic,{2}{B}{B},B,Creature,Demon,4,5
SOI,uncommon,{5}{B},B,Creature,"Slug, Horror",7,7
SOI,common,{1}{B},B,Sorcery,0,0,0
SOI,uncommon,{1}{B},"B, R",Creature,"Vampire, Soldier",2,1
SOI,uncommon,{1}{B},B,Creature,Spirit,3,3
SOI,uncommon,{2}{B},B,Sorcery,0,0,0
SOI,common,{1}{B},B,Creature,"Zombie, Rat",1,1
SOI,mythic,{B}{B},B,Creature,Zombie,2,2
SOI,common,{3}{B},B,Creature,Zombie,2,4
SOI,common,{B},B,Creature,Skeleton,1,2
SOI,common,{B},B,Sorcery,0,0,0
SOI,uncommon,{B},B,Enchantment,0,0,0
SOI,common,{3}{B},B,Creature,"Nightmare, Horse",3,3
SOI,common,{3}{B},B,Creature,"Vampire, Soldier",4,2
SOI,common,{4}{B},B,Instant,0,0,0
SOI,rare,{2}{B},B,Instant,0,0,0
SOI,uncommon,{2}{B},B,Creature,"Human, Rogue",3,2
SOI,rare,{3}{B},B,Enchantment,0,0,0
SOI,common,{4}{B},B,Creature,Vampire,3,5
SOI,common,{2}{B},B,Creature,"Vampire, Noble",3,2
SOI,common,{1}{B},B,Enchantment,0,0,0
SOI,rare,{1}{R},R,Sorcery,0,0,0
SOI,common,{2}{R},R,Creature,"Vampire, Berserker",4,1
SOI,uncommon,{1}{R}{R},R,Creature,"Human, Scout, Werewolf",3,3
