setCode,rarity,manaCost,colorIdentity,types,subtypes,power,toughness
TMP,common,{1}{W},W,Creature,"Human, Soldier, Scout",1,1
TMP,uncommon,{3}{W},W,Creature,Angel,2,2
TMP,common,{W},W,Instant,0,0,0
TMP,uncommon,{2}{W},W,Creature,Sliver,2,2
TMP,common,{1}{W},W,Creature,Pegasus,1,2
TMP,rare,{1}{W},W,Creature,Atog,1,2
TMP,rare,{3}{W}{W},W,Creature,Angel,3,3
TMP,common,{1}{W},W,Enchantment,0,0,0
TMP,common,{1}{W},W,Enchantment,0,0,0
TMP,common,{1}{W},W,Enchantment,0,0,0
TMP,common,{1}{W},W,Enchantment,0,0,0
TMP,common,{1}{W},W,Enchantment,0,0,0
TMP,common,{1}{W},W,Enchantment,0,0,0
TMP,common,{1}{W},W,Creature,"Human, Cleric",1,1
TMP,common,{3}{W},W,Creature,Bird,2,2
TMP,common,{1}{W},W,Instant,0,0,0
TMP,common,{2}{W},W,Creature,"Human, Soldier",2,2
TMP,rare,{2}{W}{W},W,Enchantment,0,0,0
TMP,uncommon,{W},W,Enchantment,Aura,0,0
TMP,uncommon,{1}{W},W,Instant,0,0,0
TMP,rare,{W},W,Enchantment,0,0,0
TMP,rare,{2}{W},W,Enchantment,0,0,0
TMP,common,{1}{W},W,Enchantment,Aura,0,0
TMP,rare,{2}{W}{W},W,Enchantment,0,0,0
TMP,uncommon,{1}{W},W,Instant,0,0,0
TMP,uncommon,{1}{W}{W},W,Creature,"Human, Knight",2,2
TMP,uncommon,{3}{W},W,Enchantment,0,0,0
TMP,rare,{3}{W},W,Creature,Giant,3,3
TMP,common,{1}{W},W,Creature,"Human, Soldier",1,2
TMP,common,{3}{W},W,Creature,"Human, Soldier, Archer",2,3
TMP,rare,{1}{W},W,Creature,"Human, Wizard",1,1
TMP,uncommon,{1}{W}{W},W,Enchantment,0,0,0
TMP,rare,{1}{W}{W},W,Creature,"Human, Cleric",1,3
TMP,common,{1}{W},W,Enchantment,Aura,0,0
TMP,rare,{3}{W},W,Enchantment,0,0,0
TMP,uncommon,{1}{W},W,Creature,Licid,1,1
TMP,uncommon,{2}{W},W,Sorcery,0,0,0
TMP,rare,{W},W,Creature,"Human, Cleric",1,1
TMP,rare,{3}{W}{W},W,Enchantment,0,0,0
TMP,uncommon,{1}{W},W,Instant,0,0,0
TMP,uncommon,{2}{W},W,Creature,"Soltari, Knight",2,1
TMP,rare,{1}{W},W,Creature,"Soltari, Soldier",2,1
TMP,common,{W},W,Creature,"Soltari, Soldier",1,1
TMP,common,{2}{W},W,Creature,"Soltari, Knight",2,2
TMP,uncommon,{W}{W},W,Creature,"Soltari, Monk, Cleric",2,1
TMP,uncommon,{W}{W},W,Creature,"Soltari, Cleric",2,1
TMP,common,{1}{W},W,Creature,"Soltari, Soldier",1,1
TMP,rare,{2}{W}{W},W,Enchantment,0,0,0
TMP,uncommon,{3}{W}{W},W,Creature,"Human, Soldier",3,4
TMP,common,{1}{W},W,Creature,Sliver,1,1
TMP,uncommon,{1}{W},W,Enchantment,0,0,0
TMP,rare,{3}{W}{W},W,Sorcery,0,0,0
TMP,uncommon,{W},W,Instant,0,0,0
TMP,rare,{5}{U}{U}{U},U,Creature,Serpent,7,6
TMP,common,{1}{U}{U},U,Instant,0,0,0
