setCode,rarity,manaCost,colorIdentity,types,subtypes,power,toughness
VOW,common,{1}{W},W,Instant,0,0,0
VOW,uncommon,{3}{W}{W},W,Creature,"Angel, Soldier",3,3
VOW,uncommon,{1}{W}{W},W,Sorcery,0,0,0
VOW,uncommon,{1}{W},W,Artifact,Equipment,0,0
VOW,rare,{3}{W}{W},W,Sorcery,0,0,0
VOW,mythic,{2}{W}{W},W,Creature,"Human, Soldier",3,4
VOW,uncommon,{1}{W},W,Enchantment,0,0,0
VOW,uncommon,{1}{W},W,Creature,"Spirit, Warlock",1,3
VOW,uncommon,{2}{W},W,Creature,Spirit,2,1
VOW,uncommon,0,W,Enchantment,Aura,0,0
VOW,common,{1}{W},W,Creature,"Spirit, Soldier",2,2
VOW,common,0,W,Enchantment,Aura,0,0
VOW,common,{3}{W},W,Creature,"Human, Soldier",4,2
VOW,mythic,{1}{W}{W},W,Creature,"Spirit, Soldier",4,4
VOW,mythic,0,W,Enchantment,"Aura, Curse",0,0
VOW,common,{1}{W},W,Instant,0,0,0
VOW,uncommon,{1}{W},W,Creature,Spirit,3,1
VOW,common,{2}{W},W,Creature,"Human, Knight",2,1
VOW,uncommon,{3}{W},W,Creature,"Human, Knight",2,2
VOW,mythic,{2}{W}{W},W,Enchantment,0,0,0
VOW,common,{3}{W},W,Creature,Bird,2,3
VOW,common,{4}{W},W,Creature,Spirit,3,3
VOW,rare,{W},W,Creature,"Human, Warlock",1,2
VOW,rare,{1}{W}{W},W,Creature,"Spirit, Warlock",*,*
VOW,rare,0,W,Enchantment,Aura,0,0
VOW,common,{2}{W},W,Creature,Spirit,2,3
VOW,common,0,W,Enchantment,Aura,0,0
VOW,rare,{1}{W},"R, W",Instant,0,0,0
VOW,common,{2}{W},W,Creature,"Human, Soldier",3,3
VOW,common,{4}{W},W,Creature,Spirit,2,5
VOW,common,{1}{W},W,Enchantment,Aura,0,0
VOW,uncommon,{W},W,Creature,"Human, Cleric",1,1
VOW,uncommon,{1}{W},"B, W",Creature,"Human, Peasant",2,2
VOW,uncommon,0,"B, W",Creature,"Human, Rogue",3,5
