setCode,rarity,manaCost,colorIdentity,types,subtypes,power,toughness
XLN,uncommon,{1}{W},W,Creature,"Vampire, Soldier",1,1
XLN,rare,{1}{W},W,Enchantment,0,0,0
XLN,mythic,{4}{W}{W},W,Enchantment,0,0,0
XLN,uncommon,{5}{W},W,Creature,Dinosaur,3,5
XLN,rare,{3}{W}{W},W,Creature,"Vampire, Cleric",3,4
XLN,common,{1}{W},W,Creature,"Vampire, Soldier",2,2
XLN,uncommon,{4}{W},W,Instant,0,0,0
XLN,common,{W},W,Instant,0,0,0
XLN,uncommon,{W},W,Creature,"Vampire, Cleric",1,1
XLN,uncommon,{2}{W},W,Creature,"Human, Cleric",2,1
XLN,common,{W},W,Creature,Dog,1,1
XLN,uncommon,{3}{W}{W},W,Creature,"Vampire, Soldier",4,4
XLN,rare,{5}{W}{W},W,Creature,Dinosaur,3,3
XLN,uncommon,{3}{W},W,Creature,Dinosaur,3,3
XLN,uncommon,{W},W,Creature,"Human, Knight",1,1
XLN,uncommon,{2}{W},W,Creature,"Vampire, Cleric",3,2
XLN,uncommon,{3}{W},W,Enchantment,0,0,0
XLN,common,{W},W,Creature,"Human, Cleric",0,3
XLN,rare,{2}{W},W,Creature,Dinosaur,2,3
XLN,common,{2}{W},W,Creature,"Vampire, Soldier",2,2
XLN,common,{2}{W},W,Sorcery,0,0,0
XLN,rare,{W},W,Enchantment,0,0,0
XLN,rare,0,W,Land,0,0,0
XLN,common,{3}{W},W,Creature,Dinosaur,1,7
XLN,rare,{2}{W},W,Creature,"Vampire, Cleric",2,2
XLN,common,{3}{W},W,Creature,"Vampire, Knight",3,2
XLN,common,{3}{W},W,Enchantment,Aura,0,0
XLN,rare,{W},W,Creature,"Human, Cleric",1,1
XLN,common,{3}{W},W,Creature,"Human, Knight",3,3
XLN,common,{2}{W},W,Sorcery,0,0,0
XLN,uncommon,{2}{W},W,Instant,0,0,0
XLN,common,{1}{W},W,Creature,Dinosaur,3,1
XLN,common,{2}{W},W,Instant,0,0,0
XLN,rare,{X}{W}{W},W,Instant,0,0,0
XLN,rare,{2}{W}{W},W,Instant,0,0,0
XLN,uncommon,{W},W,Instant,0,0,0
XLN,common,{4}{W},W,Creature,Dinosaur,3,4
XLN,common,{1}{W},W,Creature,"Vampire, Soldier",1,3
XLN,common,{W},W,Instant,0,0,0
XLN,uncommon,{3}{W},W,Creature,Dinosaur,2,3
XLN,common,{4}{W},W,Creature,"Human, Scout",3,3
XLN,common,{2}{W},W,Creature,Dinosaur,2,3
XLN,rare,{1}{W},W,Creature,"Human, Soldier",1,3
XLN,common,{W},W,Instant,0,0,0
XLN,mythic,{5}{W}{W}{W},W,Creature,"Dinosaur, Avatar",7,7
XLN,uncommon,{3}{U}{U},U,Creature,Elemental,4,4
XLN,rare,{2}{U},U,Enchantment,0,0,0
XLN,common,{1}{U}{U},U,Instant,0,0,0
XLN,uncommon,{1}{U},U,Sorcery,0,0,0
XLN,rare,{1}{U},U,Creature,"Human, Pirate",2,1
XLN,uncommon,{3}{U},U,Creature,"Human, Pirate",2,2
XLN,uncommon,{2}{U},U,Enchantment,0,0,0
XLN,common,{2}{U},U,Instant,0,0,0
XLN,common,{U},U,Instant,0,0,0
XLN,rare,{2}{U}{U},U,Creature,"Siren, Pirate",3,3
XLN,rare,{X}{U}{U},U,Sorcery,0,0,0
XLN,uncommon,{1}{U},U,Enchantment,0,0,0
XLN,rare,{5}{U}{U},U,Creature,Fish,6,6
XLN,common,{3}{U},U,Creature,"Merfolk, Warrior",2,5
XLN,rare,{3}{U},U,Creature,"Merfolk, Warrior",2,3
XLN,mythic,{1}{U}{U},U,Planeswalker,Jace,0,0
XLN,rare,{1}{U}{U},U,Creature,"Merfolk, Wizard",2,2
XLN,uncommon,{2}{U},U,Instant,0,0,0
XLN,uncommon,{2}{U},U,Enchantment,0,0,0
XLN,common,{1}{U},U,Enchantment,Aura,0,0
XLN,common,{U},U,Instant,0,0,0
XLN,mythic,{4}{U}{U}{U},U,Sorcery,0,0,0
XLN,uncommon,{1}{U},U,Instant,0,0,0
XLN,common,{3}{U},U,Sorcery,0,0,0
XLN,common,{4}{U},U,Creature,"Human, Pirate",3,4
XLN,uncommon,{1}{U},U,Creature,"Merfolk, Warrior",1,1
XLN,rare,{4}{U}{U},U,Sorcery,0,0,0
XLN,common,{3}{U},U,Instant,0,0,0
XLN,common,{2}{U},U,Creature,"Human, Pirate",1,4
XLN,rare,{1}{U},U,Enchantment,0,0,0
XLN,rare,0,U,Land,0,0,0
XLN,common,{1}{U},U,Creature,"Merfolk, Wizard",2,1
XLN,common,{1}{U},U,Creature,"Human, Pirate",2,1
XLN,common,{U},U,Creature,Trilobite,0,3
XLN,common,{2}{U},U,Creature,"Siren, Pirate",1,2
XLN,uncommon,{U},U,Creature,"Siren, Pirate, Wizard",1,1
XLN,common,{1}{U},U,Instant,0,0,0
XLN,common,{U},U,Instant,0,0,0
XLN,rare,{3}{U}{U},U,Instant,0,0,0
XLN,uncommon,{1}{U},U,Creature,"Human, Pirate",1,2
XLN,uncommon,{2}{U},U,Creature,"Human, Pirate",2,2
XLN,common,{3}{U},U,Creature,"Merfolk, Wizard",3,2
XLN,uncommon,{2}{U}{U},U,Creature,"Merfolk, Wizard",2,3
XLN,common,{2}{U},U,Creature,"Merfolk, Wizard",2,2
XLN,common,{4}{U},U,Creature,"Merfolk, Wizard",3,3
XLN,common,{4}{B},B,Creature,"Vampire, Cleric",3,3
XLN,rare,{1}{B},B,Enchantment,0,0,0
XLN,rare,0,B,Land,0,0,0
XLN,uncommon,{3}{B}{B},B,Creature,"Vampire, Cleric",3,3
XLN,common,{B},B,Creature,"Bat, Imp",1,1
XLN,rare,{1}{B},B,Creature,"Vampire, Knight",1,1
XLN,mythic,{5}{B}{B},B,Sorcery,0,0,0
XLN,common,{3}{B}{B},B,Sorcery,0,0,0
XLN,common,{1}{B},B,Instant,0,0,0
XLN,uncommon,{4}{B},B,Instant,0,0,0
XLN,common,{2}{B},B,Creature,"Human, Pirate",2,2
XLN,rare,{B},B,Creature,"Human, Pirate",1,1
XLN,uncommon,{4}{B}{B},B,Creature,"Vampire, Knight",4,4
XLN,common,{1}{B},B,Creature,"Human, Pirate",2,3
XLN,common,{1}{B},B,Creature,"Human, Pirate",2,1
XLN,common,{3}{B},B,Creature,"Human, Pirate",2,2
XLN,mythic,{3}{B}{B},B,Creature,"Orc, Pirate, Wizard",4,4
XLN,common,{B},B,Sorcery,0,0,0
XLN,rare,{1}{B},B,Creature,"Human, Pirate",2,1
XLN,common,{3}{B},B,Creature,"Human, Pirate",3,3
XLN,uncommon,{2}{B},B,Sorcery,0,0,0
XLN,uncommon,{2}{B},B,Sorcery,0,0,0
XLN,uncommon,{1}{B},B,Creature,"Human, Pirate",1,2
XLN,uncommon,{3}{B},B,Creature,"Beast, Horror",2,3
XLN,common,{B},B,Sorcery,0,0,0
XLN,common,{3}{B},B,Enchantment,Aura,0,0
XLN,common,{5}{B},B,Creature,"Vampire, Scout",3,3
XLN,common,{1}{B},B,Creature,"Vampire, Soldier",2,2
XLN,uncommon,{3}{B},B,Enchantment,0,0,0
XLN,rare,{4}{B},B,Enchantment,0,0,0
XLN,rare,{2}{B},B,Creature,"Orc, Pirate",3,2
XLN,uncommon,{2}{B},B,Creature,"Orc, Pirate",3,2
XLN,rare,{2}{B}{B},B,Creature,"Vampire, Knight",3,4
XLN,uncommon,{1}{B},B,Creature,"Human, Scout",1,2
XLN,common,{B},B,Creature,Insect,1,2
XLN,common,{B},B,Instant,0,0,0
XLN,common,{2}{B},B,Creature,"Vampire, Soldier",2,2
XLN,common,{4}{B},B,Sorcery,0,0,0
XLN,rare,{2}{B},B,Sorcery,0,0,0
XLN,common,{2}{B},B,Instant,0,0,0
XLN,uncommon,{B},B,Creature,"Vampire, Soldier",1,2
XLN,rare,{2}{B}{B},B,Instant,0,0,0
XLN,uncommon,{B}{B},B,Sorcery,0,0,0
XLN,uncommon,{1}{B},B,Creature,"Human, Pirate",4,3
XLN,rare,{5}{R}{R},R,Creature,"Human, Pirate",4,4
XLN,uncommon,{3}{R},R,Creature,Dinosaur,5,5
XLN,common,{3}{R},R,Creature,"Human, Pirate",2,2
XLN,rare,{3}{R}{R}{R},R,Creature,"Dinosaur, Avatar",6,6
XLN,rare,{2}{R},R,Creature,"Human, Pirate",2,2
XLN,rare,{3}{R},R,Creature,"Human, Pirate",4,3
XLN,uncommon,{4}{R},R,Creature,Dinosaur,5,5
XLN,common,{3}{R},R,Sorcery,0,0,0
XLN,uncommon,{2}{R},R,Instant,0,0,0
XLN,common,{R},R,Instant,0,0,0
XLN,common,{1}{R},R,Creature,"Human, Pirate",2,2
XLN,uncommon,{2}{R},R,Instant,0,0,0
XLN,common,{R},R,Creature,Elemental,1,1
