setCode,rarity,subtype_category,Common,Rare,Uncommon,Mythical,Angle,Other,Human,Zombies
ARN,uncommon,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Zombie,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Human,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,rare,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,common,Other,41,33,18,0,0.0,72.0,19.0,1.0
ARN,uncommon,Other,41,33,18,0,0.0,72.0,19.0,1.0
CSP,rare,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,common,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,rare,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,rare,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,rare,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,common,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,uncommon,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,uncommon,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,uncommon,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,uncommon,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,common,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,common,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,common,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,uncommon,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,common,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,common,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,common,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,common,Other,60,40,55,0,1.0,123.0,24.0,7.0
CSP,rare,Other,60,40,55,0,1.0,123.0,24.0,7.0
