setCode,rarity,manaCost,colorIdentity,types,subtypes,power,toughness
KHM,common,{3}{W},W,Creature,"Dwarf, Warrior",3,3
KHM,uncommon,{2}{W},W,Creature,"Human, Warrior",2,2
KHM,common,{W},W,Creature,Bird,1,2
KHM,common,{1}{W},W,Creature,"Human, Warrior",2,1
KHM,common,{2}{W},W,Enchantment,Aura,0,0
KHM,uncommon,{1}{W},W,Creature,Spirit,2,2
KHM,common,{W},W,Creature,"Human, Cleric",1,1
KHM,uncommon,{W}{W},W,Sorcery,0,0,0
KHM,rare,{3}{W}{W},W,Sorcery,0,0,0
KHM,common,{2}{W},W,Creature,"Human, Cleric",3,2
KHM,common,{1}{W},W,Creature,Ox,0,6
KHM,rare,{2}{W}{W},W,Creature,"Angel, Cleric",3,4
KHM,common,{5}{W},W,Creature,Cat,3,6
KHM,common,{2}{W},W,Creature,"Dwarf, Warrior",2,3
KHM,mythic,{2}{W}{W},W,Creature,God,4,4
KHM,mythic,{1}{W},W,Artifact,Equipment,0,0
KHM,common,{2}{W},W,Instant,0,0,0
KHM,common,{2}{W},W,Instant,0,0,0
KHM,uncommon,{2}{W},W,Instant,0,0,0
KHM,common,{4}{W},W,Creature,"Dwarf, Warrior",4,4
KHM,rare,{1}{W},W,Enchantment,0,0,0
KHM,rare,{2}{W},W,Creature,God,2,3
KHM,rare,{3}{W},W,Artifact,0,0,0
KHM,mythic,{1}{W}{W},W,Creature,"Angel, Warrior",3,3
KHM,common,{1}{W},W,Instant,0,0,0
KHM,rare,{2}{W},W,Creature,"Angel, Cleric",2,4
KHM,uncommon,{1}{W},W,Enchantment,"Aura, Rune",0,0
KHM,rare,{2}{W},W,Creature,"Dwarf, Warrior",2,3
KHM,rare,{2}{W},W,Sorcery,0,0,0
KHM,uncommon,{4}{W}{W},W,Creature,"Angel, Warrior",3,3
KHM,rare,{1}{W}{W},W,Creature,"Human, Warrior",2,2
KHM,uncommon,{1}{W},W,Enchantment,Aura,0,0
KHM,common,{3}{W},W,Creature,"Angel, Warrior",3,2
KHM,common,{2}{W},W,Creature,Pegasus,2,2
KHM,mythic,{2}{W}{W},W,Sorcery,0,0,0
KHM,common,{1}{W},W,Creature,"Dwarf, Cleric",2,2
KHM,uncommon,{W},W,Creature,"Spirit, Warrior",2,1
KHM,uncommon,{1}{W},W,Artifact,Equipment,0,0
KHM,common,{W},W,Enchantment,Aura,0,0
KHM,common,{4}{W},W,Instant,0,0,0
KHM,common,{W},W,Instant,0,0,0
KHM,mythic,{3}{U}{U},U,Creature,God,1,1
KHM,mythic,{1}{U},U,Creature,Bird,2,3
KHM,mythic,{3}{U}{U},U,Creature,God,1,1
KHM,mythic,{1}{U},U,Creature,Bird,3,3
KHM,mythic,{5}{U}{U},U,Sorcery,0,0,0
KHM,mythic,{5}{U}{U},U,Sorcery,0,0,0
KHM,common,{U},U,Instant,0,0,0
KHM,rare,{U},U,Creature,Spirit,1,1
KHM,common,{3}{U},U,Creature,Bird,3,3
KHM,uncommon,{1}{U},U,Creature,"Human, Wizard",1,3
KHM,common,{3}{U},U,Instant,0,0,0
KHM,common,{4}{U},U,Creature,"Giant, Wizard",4,4
KHM,common,{U},U,Enchantment,Aura,0,0
KHM,common,{U},U,Creature,"Human, Rogue",1,2
KHM,rare,{2}{U},U,Creature,God,2,4
KHM,rare,{1}{U},U,Artifact,Vehicle,3,3
KHM,rare,{3}{U},U,Creature,"Horse, Spirit",3,3
KHM,rare,{2}{U},U,Creature,"Horse, Spirit",3,2
KHM,rare,{5}{U}{U},U,Creature,"Giant, Wizard",7,7
KHM,common,{1}{U},U,Instant,0,0,0
KHM,common,{1}{U},U,Instant,0,0,0
KHM,common,{2}{U},U,Creature,"Zombie, Rogue",3,2
KHM,uncommon,{U},U,Creature,"Human, Wizard",1,2
KHM,common,{3}{U},U,Creature,Yeti,3,3
KHM,uncommon,{4}{U},U,Creature,"Giant, Wizard",2,5
KHM,uncommon,{U},U,Artifact,Equipment,0,0
KHM,uncommon,{1}{U},U,Sorcery,0,0,0
KHM,rare,{3}{U}{U},U,Instant,0,0,0
KHM,uncommon,{2}{U},U,Artifact,0,0,0
KHM,rare,{10}{U}{U},U,Creature,Kraken,8,8
KHM,uncommon,{3}{U},U,Creature,"Human, Wizard",3,3
KHM,common,{1}{U},U,Creature,"Zombie, Wizard",1,3
KHM,common,{3}{U},U,Creature,Shapeshifter,2,4
KHM,common,{1}{U},U,Enchantment,Aura,0,0
KHM,common,{2}{U},U,Creature,Shapeshifter,1,4
KHM,rare,{1}{U},U,Instant,0,0,0
KHM,mythic,{3}{U},U,Creature,Shapeshifter,3,3
KHM,common,{1}{U},U,Creature,Bird,1,2
KHM,common,{2}{U},U,Sorcery,0,0,0
KHM,rare,{4}{U},U,Enchantment,0,0,0
KHM,common,{4}{U}{U},U,Instant,0,0,0
KHM,uncommon,{1}{U},U,Enchantment,"Aura, Rune",0,0
KHM,uncommon,{1}{U}{U},U,Instant,0,0,0
KHM,common,{1}{U},U,Sorcery,0,0,0
KHM,common,{4}{U}{U},U,Creature,"Giant, Rogue",5,6
KHM,rare,{4}{B}{B},B,Sorcery,0,0,0
KHM,uncommon,{1}{B},B,Creature,"Human, Berserker",1,1
KHM,mythic,{4}{B}{B},B,Creature,"Demon, Berserker",6,6
KHM,rare,{2}{B}{B},B,Sorcery,0,0,0
KHM,common,{1}{B},B,Creature,"Elf, Berserker",2,2
KHM,common,{1}{B},B,Instant,0,0,0
KHM,common,{3}{B},B,Enchantment,0,0,0
KHM,rare,{3}{B},B,Creature,"Zombie, Cleric",4,4
KHM,common,{3}{B},B,Creature,"Zombie, Cleric",3,3
KHM,uncommon,{1}{B},B,Artifact,Equipment,0,0
KHM,common,{5}{B},B,Creature,"Spirit, Knight",3,7
KHM,rare,{1}{B},B,Creature,"Demon, Cleric",0,3
KHM,common,{B},B,Creature,"Elf, Berserker",1,2
KHM,rare,{2}{B},B,Creature,God,6,6
KHM,rare,{B},B,Artifact,0,0,0
KHM,common,{1}{B},B,Creature,"Elf, Cleric",1,1
KHM,mythic,{2}{B}{B},B,Creature,"Angel, Berserker",4,3
KHM,common,{2}{B}{B},B,Instant,0,0,0
KHM,common,{2}{B},B,Creature,"Zombie, Berserker",3,2
KHM,uncommon,{3}{B},B,Creature,"Angel, Wizard",2,2
KHM,mythic,{4}{B}{B},B,Sorcery,0,0,0
KHM,common,{2}{B},B,Creature,Imp,2,2
KHM,common,{3}{B},B,Creature,"Zombie, Cleric",3,2
KHM,common,{4}{B},B,Creature,"Zombie, Berserker",4,4
