setCode,rarity,manaCost,colorIdentity,types,subtypes,power,toughness
NEO,common,{1}{W},W,Artifact,Equipment,0,0
NEO,common,{1}{W},W,Artifact,Equipment,0,0
NEO,mythic,{3}{W}{W},W,Creature,"Dragon, Spirit",5,4
NEO,uncommon,{W}{W},W,Sorcery,0,0,0
NEO,common,{3}{W},W,Enchantment,Saga,0,0
NEO,common,0,W,"Enchantment, Creature",Insect,2,4
NEO,uncommon,{2}{W},W,Creature,"Fox, Ninja",2,2
NEO,uncommon,{2}{W},W,Enchantment,Aura,0,0
NEO,rare,{3}{W}{W}{W}{W},W,Sorcery,0,0,0
NEO,rare,{2}{W},W,"Artifact, Creature","Equipment, Kirin",3,2
NEO,common,{2}{W},W,Artifact,Vehicle,3,2
NEO,common,{1}{W},W,"Enchantment, Creature","Human, Samurai",2,1
NEO,common,{W},W,"Enchantment, Creature","Human, Samurai",1,1
NEO,common,{1}{W},W,Enchantment,Saga,0,0
NEO,common,0,W,"Enchantment, Creature","Human, Monk",2,2
NEO,uncommon,{2}{W},W,Enchantment,Saga,0,0
NEO,uncommon,0,W,"Enchantment, Creature","Human, Noble",1,3
NEO,rare,{4}{W}{W},W,Sorcery,0,0,0
NEO,uncommon,{3}{W},W,"Enchantment, Creature",Shrine,1,3
NEO,common,{2}{W},W,"Enchantment, Creature","Fox, Monk",2,3
NEO,uncommon,{W},W,"Artifact, Creature","Fox, Pilot",2,1
NEO,common,{5}{W},W,Sorcery,0,0,0
NEO,uncommon,{2}{W},W,Artifact,Vehicle,3,4
NEO,common,{2}{W},W,Creature,"Human, Samurai",3,2
NEO,common,{1}{W},W,Creature,"Human, Samurai",3,1
NEO,common,{2}{W},W,Enchantment,Aura,0,0
NEO,rare,{1}{W}{W}{W}{W},W,Sorcery,0,0,0
NEO,common,{1}{W},W,Creature,"Fox, Pilot",2,2
NEO,rare,{3}{W},"B, G, R, U, W",Creature,"Dragon, Spirit",3,3
NEO,common,{W},W,Instant,0,0,0
NEO,rare,{1}{W},W,Creature,"Fox, Advisor",2,2
NEO,rare,{1}{W},W,"Artifact, Creature","Equipment, Cat",1,1
NEO,common,{W},W,Sorcery,0,0,0
NEO,rare,{X}{W},W,Instant,0,0,0
NEO,uncommon,{1}{W},W,Enchantment,Saga,0,0
NEO,uncommon,0,W,"Enchantment, Creature","Human, Noble",0,0
NEO,common,{W},W,Creature,"Fox, Warrior",1,1
NEO,uncommon,{2}{W},W,Creature,"Human, Samurai",3,2
NEO,common,{W},W,Instant,0,0,0
NEO,common,{3}{W},W,Instant,0,0,0
NEO,rare,{2}{W},W,Enchantment,Saga,0,0
NEO,rare,0,W,"Enchantment, Creature","Fox, Monk",3,4
NEO,uncommon,{1}{W},W,Creature,"Fox, Samurai",2,2
NEO,common,{3}{W},W,Creature,"Fox, Samurai",2,3
NEO,uncommon,{6}{W},W,"Enchantment, Creature","Human, Samurai",4,4
NEO,common,{1}{W},W,"Enchantment, Creature",Dog,1,1
NEO,common,{4}{W},W,"Enchantment, Creature","Human, Samurai",4,4
NEO,uncommon,{2}{W},W,Enchantment,0,0,0
NEO,common,{1}{W},W,Instant,0,0,0
NEO,mythic,{2}{W}{W},W,Planeswalker,0,0,0
NEO,uncommon,{3}{W},W,Instant,0,0,0
NEO,uncommon,{2}{U},U,"Artifact, Creature","Equipment, Octopus",2,2
NEO,uncommon,{2}{U}{U},U,Sorcery,0,0,0
NEO,common,{1}{U},U,"Artifact, Creature","Equipment, Beast",2,1
NEO,uncommon,{X}{U}{U},U,Enchantment,Aura,0,0
NEO,uncommon,{3}{U}{U},U,Enchantment,Saga,0,0
NEO,uncommon,0,U,"Enchantment, Creature",Spirit,0,0
NEO,uncommon,{2}{U},U,"Artifact, Creature","Human, Ninja",2,4
NEO,uncommon,{2}{U},U,Instant,0,0,0
NEO,common,{U}{U},U,Instant,0,0,0
NEO,uncommon,{U}{U},U,Instant,0,0,0
NEO,uncommon,{3}{U},U,Creature,"Human, Ninja",3,4
NEO,uncommon,{U},U,Creature,"Human, Ninja",0,4
NEO,common,{3}{U},U,Artifact,Vehicle,6,6
NEO,uncommon,{1}{U},U,"Enchantment, Creature",Shrine,0,4
NEO,common,{2}{U},U,Creature,"Moonfolk, Samurai",3,4
NEO,rare,{3}{U},U,Enchantment,Saga,0,0
NEO,rare,0,U,"Enchantment, Creature",Moonfolk,3,3
NEO,rare,{1}{U}{U}{U}{U},U,Sorcery,0,0,0
NEO,mythic,{5}{U}{U},U,Creature,"Phyrexian, Praetor",5,5
NEO,mythic,{4}{U}{U},U,Creature,"Dragon, Spirit",6,6
NEO,rare,{X}{U},U,Instant,0,0,0
NEO,rare,{2}{U},U,Artifact,Vehicle,4,3
NEO,common,{5}{U}{U},U,"Artifact, Creature",Crab,5,7
NEO,common,{1}{U},U,Artifact,0,0,0
NEO,uncommon,{1}{U},U,Artifact,Vehicle,3,4
NEO,common,{1}{U},U,Enchantment,Saga,0,0
NEO,common,0,U,"Enchantment, Creature",Spirit,2,3
NEO,common,{1}{U},U,"Enchantment, Creature","Human, Ninja",2,1
