setCode,rarity,manaCost,colorIdentity,types,subtypes,power,toughness
PCY,uncommon,{1}{W}{W},W,Instant,0,0,0
PCY,common,{2}{W},W,Enchantment,0,0,0
PCY,rare,{6}{W}{W},W,Creature,Avatar,4,9
PCY,rare,{7}{W}{W},W,Sorcery,0,0,0
PCY,rare,{2}{W}{W},W,Enchantment,0,0,0
PCY,common,{1}{W}{W},W,Creature,Griffin,2,2
PCY,uncommon,{2}{W}{W},W,Enchantment,Aura,0,0
PCY,common,{X}{W},W,Instant,0,0,0
PCY,uncommon,{1}{W},W,Enchantment,Aura,0,0
PCY,uncommon,{2}{W},W,Creature,Cat,2,2
PCY,common,{W},W,Creature,Cat,1,1
PCY,rare,{3}{W}{W},W,Creature,Spirit,3,3
PCY,rare,{3}{W}{W},W,Creature,"Human, Spellshaper",3,3
PCY,common,{1}{W},W,Enchantment,Aura,0,0
PCY,rare,{2}{W},W,Creature,"Human, Rebel, Mercenary",2,1
PCY,common,{2}{W},W,Creature,"Human, Soldier",1,1
PCY,uncommon,{3}{W},W,Instant,0,0,0
PCY,uncommon,{2}{W}{W},W,Creature,"Human, Rebel",3,3
PCY,common,{2}{W}{W},W,Enchantment,0,0,0
PCY,common,{1}{W},W,Instant,0,0,0
PCY,rare,{2}{W},W,Enchantment,0,0,0
PCY,rare,{W},W,Enchantment,0,0,0
PCY,uncommon,{2}{W},W,Creature,"Human, Rebel",1,3
PCY,common,{2}{W},W,Creature,"Human, Rebel",2,2
PCY,uncommon,{1}{W},W,Creature,"Human, Rebel",1,2
PCY,common,{3}{W},W,Creature,"Horse, Rebel",2,3
PCY,common,{2}{W},W,Creature,"Human, Cleric",1,2
PCY,rare,{3}{U}{U},U,Creature,"Human, Spellshaper",3,3
PCY,common,{1}{U},U,Enchantment,Aura,0,0
PCY,rare,{6}{U}{U},U,Creature,Avatar,5,6
PCY,common,{4}{U},U,Creature,Bird,3,3
PCY,rare,{7}{U}{U},U,Sorcery,0,0,0
PCY,uncommon,{1}{U},U,Enchantment,0,0,0
PCY,uncommon,{2}{U}{U},U,Instant,0,0,0
PCY,common,{3}{U},U,Creature,"Squid, Beast",2,2
PCY,common,{1}{U},U,Creature,"Homunculus, Illusion",1,1
PCY,rare,{3}{U}{U},U,Enchantment,0,0,0
PCY,uncommon,{1}{U},U,Sorcery,0,0,0
PCY,rare,{1}{U},U,Enchantment,0,0,0
PCY,rare,{1}{U},U,Sorcery,0,0,0
PCY,uncommon,{2}{U},U,Creature,Wall,1,6
PCY,common,{2}{U},U,Instant,0,0,0
PCY,common,{2}{U},U,Enchantment,0,0,0
PCY,uncommon,{2}{U}{U},U,Sorcery,0,0,0
PCY,common,{2}{U},U,Enchantment,0,0,0
PCY,common,{1}{U}{U},U,Creature,Snake,2,3
PCY,rare,{4}{U}{U}{U},U,Creature,Serpent,4,4
PCY,uncommon,{3}{U}{U},U,Creature,Drake,3,3
PCY,common,{1}{U},U,Creature,Drake,1,1
PCY,common,{3}{U},U,Creature,Bird,2,1
PCY,uncommon,{1}{U},U,Enchantment,Aura,0,0
