setCode,rarity,manaCost,colorIdentity,types,subtypes,power,toughness
SHM,common,{W},W,Creature,"Kithkin, Cleric",1,1
SHM,uncommon,{3}{W},W,Enchantment,Aura,0,0
SHM,common,{2}{W},W,Creature,"Kithkin, Soldier",2,2
SHM,common,{4}{W},W,Creature,"Kithkin, Cleric",0,4
SHM,rare,{4}{W},W,Enchantment,0,0,0
SHM,common,{W},W,Creature,Insect,0,1
SHM,rare,{1}{W},W,Enchantment,0,0,0
SHM,common,{1}{W},W,Instant,0,0,0
SHM,uncommon,{3}{W},W,Creature,Kithkin,*,*
SHM,common,{1}{W},W,Creature,"Kithkin, Soldier",1,1
SHM,common,{1}{W},W,Instant,0,0,0
SHM,rare,{5}{W}{W},W,Sorcery,0,0,0
SHM,common,{1}{W},W,Sorcery,0,0,0
SHM,uncommon,{1}{W},W,Creature,"Kithkin, Rogue",1,1
SHM,common,{W},W,Instant,0,0,0
SHM,rare,{1}{W}{W},W,Creature,"Kithkin, Cleric",1,4
SHM,uncommon,{5}{W}{W},W,Creature,"Spirit, Giant",4,4
SHM,uncommon,{1}{W}{W},W,Enchantment,Aura,0,0
SHM,uncommon,{4}{W},W,Creature,"Kithkin, Cleric",2,2
SHM,common,{3}{W},"G, W",Creature,"Elf, Knight",2,2
SHM,rare,{W}{W},W,Enchantment,0,0,0
SHM,common,{1}{W},W,Creature,"Elf, Warrior",2,2
SHM,uncommon,{2/W}{2/W}{2/W},W,Sorcery,0,0,0
SHM,common,{W},W,Instant,0,0,0
SHM,rare,{3}{W}{W}{W},W,Creature,Angel,5,5
SHM,rare,{5}{W}{W},W,Creature,Bird,5,7
SHM,common,{5}{W},W,Creature,Elemental,3,5
SHM,uncommon,{2/U}{2/U}{2/U},U,Sorcery,0,0,0
SHM,uncommon,{4}{U},U,Enchantment,Aura,0,0
SHM,common,{1}{U},U,Creature,"Faerie, Soldier",1,1
SHM,common,{U},U,Instant,0,0,0
SHM,common,{2}{U},U,Instant,0,0,0
SHM,rare,{3}{U}{U},U,Instant,0,0,0
SHM,uncommon,{U},U,Creature,"Merfolk, Wizard",1,1
SHM,uncommon,{5}{U},U,Creature,"Merfolk, Rogue",2,2
SHM,common,{U},U,Creature,"Merfolk, Wizard",1,1
SHM,uncommon,{3}{U},U,Creature,Faerie,*,*
SHM,uncommon,{5}{U},U,Sorcery,0,0,0
SHM,common,{2}{U},U,Sorcery,0,0,0
SHM,rare,{5}{U}{U},U,Creature,Kraken,4,8
SHM,common,{3}{U},U,Creature,"Kithkin, Soldier",2,2
SHM,rare,{3}{U},U,Creature,"Faerie, Rogue",1,4
SHM,uncommon,{2}{U},U,Creature,"Merfolk, Soldier",3,3
SHM,common,{4}{U},U,Creature,"Merfolk, Soldier",3,3
SHM,common,{2}{U},"U, W",Creature,"Kithkin, Soldier",2,2
SHM,common,{2}{U},U,Creature,"Merfolk, Wizard",2,1
SHM,rare,{3}{U},U,Enchantment,0,0,0
SHM,common,{2}{U}{U},U,Instant,0,0,0
SHM,rare,{3}{U}{U},U,Creature,Beast,3,3
SHM,rare,{1}{U}{U},U,Sorcery,0,0,0
SHM,common,{2}{U},U,Enchantment,Aura,0,0
SHM,common,{1}{U},U,Instant,0,0,0
SHM,rare,{4}{U}{U}{U},U,Enchantment,0,0,0
SHM,common,{4}{U},U,Creature,Elemental,6,4
SHM,common,{B},B,Instant,0,0,0
SHM,common,{5}{B},B,Creature,"Elemental, Warrior",4,3
SHM,uncommon,{2/B}{2/B}{2/B},B,Sorcery,0,0,0
SHM,uncommon,{2}{B},B,Enchantment,0,0,0
SHM,common,{2}{B},B,Creature,"Elemental, Skeleton",1,1
SHM,common,{4}{B},B,Creature,"Elemental, Shaman",3,2
SHM,uncommon,{2}{B},B,Creature,"Elemental, Rogue",1,3
SHM,uncommon,{5}{B},B,Sorcery,0,0,0
SHM,uncommon,{3}{B},B,Creature,Elemental,*,*
SHM,common,{1}{B},B,Sorcery,0,0,0
SHM,rare,{2}{B},B,Creature,Ouphe,4,3
SHM,common,{1}{B}{B},B,Creature,"Faerie, Rogue",2,2
SHM,common,{3}{B}{B},B,Sorcery,0,0,0
SHM,rare,{5}{B}{B},B,Creature,"Demon, Dog",7,6
SHM,uncommon,{3}{B},B,Creature,"Merfolk, Wizard",2,2
SHM,uncommon,{3}{B}{B},B,Sorcery,0,0,0
SHM,common,{3}{B},"B, U",Creature,Spirit,1,1
SHM,rare,{3}{B}{B}{B},B,Creature,Spirit,5,5
SHM,rare,{6}{B},B,Sorcery,0,0,0
SHM,rare,{3}{B}{B},B,Enchantment,0,0,0
SHM,rare,{3}{B}{B},B,Creature,"Faerie, Wizard",3,2
SHM,common,{1}{B},B,Sorcery,0,0,0
SHM,common,{1}{B},B,Creature,"Elemental, Warrior",2,1
SHM,common,{B},B,Creature,"Elemental, Shaman",1,1
SHM,common,{3}{B},B,Sorcery,0,0,0
SHM,common,{B},B,Enchantment,Aura,0,0
SHM,rare,{5}{B},B,Enchantment,0,0,0
SHM,common,{3}{R},"B, R",Creature,Imp,0,1
SHM,uncommon,{1}{R},R,Creature,"Goblin, Warrior",1,1
SHM,common,{R},R,Enchantment,Aura,0,0
SHM,common,{2}{R},R,Creature,"Goblin, Rogue",2,1
SHM,common,{3}{R},R,Sorcery,0,0,0
SHM,rare,{2}{R}{R},R,Creature,"Giant, Shaman",5,4
SHM,common,{R},R,Instant,0,0,0
SHM,rare,{2}{R}{R},R,Creature,"Giant, Warrior",7,7
SHM,rare,{3}{R},R,Enchantment,Aura,0,0
SHM,common,{3}{R},R,Sorcery,0,0,0
SHM,uncommon,{2/R}{2/R}{2/R},R,Instant,0,0,0
SHM,rare,{3}{R}{R},R,Creature,"Giant, Warrior",3,3
SHM,uncommon,{3}{R},R,Creature,Goblin,*,*
SHM,common,{5}{R},R,Creature,"Giant, Warrior",3,3
SHM,common,{R},R,Creature,"Goblin, Shaman",1,1
SHM,uncommon,{5}{R},R,Sorcery,0,0,0
SHM,rare,{5}{R}{R},R,Creature,Dragon,7,5
SHM,rare,{1}{R}{R},R,Enchantment,0,0,0
SHM,common,{1}{R},R,Creature,"Goblin, Warrior",1,1
SHM,common,{1}{R},R,Enchantment,Aura,0,0
SHM,common,{1}{R},R,Instant,0,0,0
SHM,uncommon,{R}{R},R,Creature,"Elemental, Warrior",1,1
SHM,rare,{4}{R}{R},R,Enchantment,0,0,0
SHM,common,{1}{R},R,Creature,"Goblin, Warrior",1,2
SHM,uncommon,{2}{R}{R},R,Creature,"Giant, Rogue",4,4
SHM,common,{1}{R},R,Instant,0,0,0
SHM,uncommon,{3}{R},R,Sorcery,0,0,0
SHM,common,{4}{G},G,Creature,"Treefolk, Warrior",4,4
SHM,common,{1}{G},G,Creature,"Elf, Druid",0,2
