setCode,rarity,manaCost,colorIdentity,types,subtypes,power,toughness
WAR,rare,{4},0,Planeswalker,Karn,0,0
WAR,rare,{4},0,Planeswalker,Karn,0,0
WAR,rare,{6},0,Planeswalker,Ugin,0,0
WAR,rare,{6},0,Planeswalker,Ugin,0,0
WAR,uncommon,{X},0,Creature,"Spirit, Monk",0,0
WAR,uncommon,{1}{W},W,Creature,"Cat, Soldier",2,2
WAR,common,{1}{W},W,Instant,0,0,0
WAR,uncommon,{4}{W},W,Sorcery,0,0,0
WAR,common,{5}{W},W,Creature,"Giant, Soldier",3,6
WAR,common,{W},W,Creature,Cat,1,1
WAR,common,{W},W,Instant,0,0,0
WAR,common,{1}{W},W,Instant,0,0,0
WAR,common,{4}{W},W,Creature,Griffin,3,4
WAR,mythic,{X}{W}{W},W,Sorcery,0,0,0
WAR,mythic,{1}{W}{W},W,Planeswalker,Gideon,0,0
WAR,mythic,{1}{W}{W},W,Planeswalker,Gideon,0,0
WAR,common,{W},W,Instant,0,0,0
WAR,uncommon,{1}{W},W,Instant,0,0,0
WAR,mythic,{3}{W}{W},W,Creature,"Zombie, God",3,6
WAR,uncommon,{1}{W},W,Creature,Spirit,1,1
WAR,rare,{4}{W},W,Instant,0,0,0
WAR,common,{3}{W},W,Creature,Beast,2,5
WAR,common,{W},W,Creature,"Human, Soldier",1,2
WAR,common,{3}{W},W,Creature,"Elephant, Soldier",3,3
WAR,common,{2}{W},W,Creature,"Human, Soldier",3,2
WAR,common,{1}{W},W,Creature,"Human, Soldier",2,2
WAR,rare,{6}{W}{W},W,Artifact,Vehicle,5,5
WAR,common,{1}{W},W,Creature,Cat,2,1
WAR,uncommon,{2}{W},W,Enchantment,0,0,0
WAR,uncommon,{1}{W},W,Instant,0,0,0
WAR,rare,{3}{W},W,Sorcery,0,0,0
WAR,common,{2}{W},W,Creature,Human,2,2
WAR,rare,{3}{W}{W},W,Sorcery,0,0,0
WAR,uncommon,{5}{W},W,Creature,Angel,3,3
WAR,uncommon,{2}{W},W,Planeswalker,Teyo,0,0
